"date","geography","geography code","Rural Urban","Hours Worked: All usual residents aged 16 to 74 in employment the week before the census; measures: Value","Hours Worked: Part-time: 15 hours or less worked; measures: Value","Hours Worked: Part-time: 16 to 30 hours worked; measures: Value","Hours Worked: Full-time: 31 to 48 hours worked; measures: Value","Hours Worked: Full-time: 49 or more hours worked; measures: Value","Hours Worked: Males: Total; measures: Value","Hours Worked: Males: Part-time: 15 hours or less worked; measures: Value","Hours Worked: Males: Part-time: 16 to 30 hours worked; measures: Value","Hours Worked: Males: Full-time: 31 to 48 hours worked; measures: Value","Hours Worked: Males: Full-time: 49 or more hours worked; measures: Value","Hours Worked: Females: Total; measures: Value","Hours Worked: Females: Part-time: 15 hours or less worked; measures: Value","Hours Worked: Females: Part-time: 16 to 30 hours worked; measures: Value","Hours Worked: Females: Full-time: 31 to 48 hours worked; measures: Value","Hours Worked: Females: Full-time: 49 or more hours worked; measures: Value"
"2011","Darlington","E06000005","Total",49014,4093,10240,29280,5401,25264,1259,2344,17463,4198,23750,2834,7896,11817,1203
"2011","County Durham","E06000047","Total",227894,18785,45205,138621,25283,118472,6031,10744,82190,19507,109422,12754,34461,56431,5776
"2011","Hartlepool","E06000001","Total",37767,3247,8939,21662,3919,19511,934,2054,13333,3190,18256,2313,6885,8329,729
"2011","Middlesbrough","E06000002","Total",54547,5716,13450,30267,5114,28197,1884,3631,18490,4192,26350,3832,9819,11777,922
"2011","Northumberland","E06000057","Total",146901,13206,30630,84010,19055,75848,3951,7090,49784,15023,71053,9255,23540,34226,4032
"2011","Redcar and Cleveland","E06000003","Total",56354,5508,13011,31673,6162,28719,1523,2690,19463,5043,27635,3985,10321,12210,1119
"2011","Stockton-on-Tees","E06000004","Total",87122,7656,19523,50548,9395,44908,2270,4466,30554,7618,42214,5386,15057,19994,1777
"2011","Gateshead","E08000037","Total",91877,6865,19036,57288,8688,47337,2143,4574,34020,6600,44540,4722,14462,23268,2088
"2011","Newcastle upon Tyne","E08000021","Total",119335,13321,25442,68307,12265,62768,5175,8142,40373,9078,56567,8146,17300,27934,3187
"2011","North Tyneside","E08000022","Total",96026,7344,19754,59032,9896,48859,2370,4530,34380,7579,47167,4974,15224,24652,2317
"2011","South Tyneside","E08000023","Total",64622,4918,13908,38645,7151,33531,1528,3228,22904,5871,31091,3390,10680,15741,1280
"2011","Sunderland","E08000024","Total",121511,9688,26933,74114,10776,62514,3169,6711,44167,8467,58997,6519,20222,29947,2309
"2011","Blackburn with Darwen","E06000008","Total",60523,5133,13869,36410,5111,33440,1954,5347,22251,3888,27083,3179,8522,14159,1223
"2011","Blackpool","E06000009","Total",61419,5065,14452,35389,6513,31451,1977,4129,20579,4766,29968,3088,10323,14810,1747
"2011","Cheshire East","E06000049","Total",181136,18003,35081,102292,25760,95118,5429,8432,61313,19944,86018,12574,26649,40979,5816
"2011","Cheshire West and Chester","E06000050","Total",160138,15902,32408,91529,20299,83031,4720,7416,55146,15749,77107,11182,24992,36383,4550
"2011","Halton","E06000006","Total",57577,4464,11587,35764,5762,29843,1397,2456,21393,4597,27734,3067,9131,14371,1165
"2011","Warrington","E06000007","Total",100856,8612,19513,61133,11598,52424,2696,4391,36275,9062,48432,5916,15122,24858,2536
"2011","Allerdale","E07000026","Total",46076,4235,10308,25665,5868,24175,1166,2097,16357,4555,21901,3069,8211,9308,1313
"2011","Barrow-in-Furness","E07000027","Total",31257,3088,7128,18761,2280,16552,833,1407,12498,1814,14705,2255,5721,6263,466
"2011","Carlisle","E07000028","Total",53874,5194,11751,29827,7102,28277,1532,2520,18474,5751,25597,3662,9231,11353,1351
"2011","Copeland","E07000029","Total",32891,2731,6704,20406,3050,17546,698,1280,13196,2372,15345,2033,5424,7210,678
"2011","Eden","E07000030","Total",27461,3006,5689,13152,5614,14525,802,1265,7962,4496,12936,2204,4424,5190,1118
"2011","South Lakeland","E07000031","Total",51672,5938,10710,27265,7759,26834,1799,2617,16726,5692,24838,4139,8093,10539,2067
