"date","geography","geography code","Rural Urban","Sex: All persons; Industry: All categories: Industry; measures: Value","Sex: All persons; Industry: A Agriculture, forestry and fishing; measures: Value","Sex: All persons; Industry: B Mining and quarrying; measures: Value","Sex: All persons; Industry: C Manufacturing; measures: Value","Sex: All persons; Industry: D Electricity, gas, steam and air conditioning supply ; measures: Value","Sex: All persons; Industry: E Water supply; sewerage, waste management and remediation activities; measures: Value","Sex: All persons; Industry: F Construction; measures: Value","Sex: All persons; Industry: G Wholesale and retail trade; repair of motor vehicles and motor cycles; measures: Value","Sex: All persons; Industry: H Transport and storage; measures: Value","Sex: All persons; Industry: I Accommodation and food service activities; measures: Value","Sex: All persons; Industry: J Information and communication; measures: Value","Sex: All persons; Industry: K Financial and insurance activities; measures: Value","Sex: All persons; Industry: L Real estate activities; measures: Value","Sex: All persons; Industry: M Professional, scientific and technical activities; measures: Value","Sex: All persons; Industry: N Administrative and support service activities; measures: Value","Sex: All persons; Industry: O Public administration and defence; compulsory social security; measures: Value","Sex: All persons; Industry: P Education; measures: Value","Sex: All persons; Industry: Q Human health and social work activities; measures: Value","Sex: All persons; Industry: R, S, T, U Other; measures: Value","Sex: Males; Industry: All categories: Industry; measures: Value","Sex: Males; Industry: A Agriculture, forestry and fishing; measures: Value","Sex: Males; Industry: B Mining and quarrying; measures: Value","Sex: Males; Industry: C Manufacturing; measures: Value","Sex: Males; Industry: D Electricity, gas, steam and air conditioning supply ; measures: Value","Sex: Males; Industry: E Water supply; sewerage, waste management and remediation activities; measures: Value","Sex: Males; Industry: F Construction; measures: Value","Sex: Males; Industry: G Wholesale and retail trade; repair of motor vehicles and motor cycles; measures: Value","Sex: Males; Industry: H Transport and storage; measures: Value","Sex: Males; Industry: I Accommodation and food service activities; measures: Value","Sex: Males; Industry: J Information and communication; measures: Value","Sex: Males; Industry: K Financial and insurance activities; measures: Value","Sex: Males; Industry: L Real estate activities; measures: Value","Sex: Males; Industry: M Professional, scientific and technical activities; measures: Value","Sex: Males; Industry: N Administrative and support service activities; measures: Value","Sex: Males; Industry: O Public administration and defence; compulsory social security; measures: Value","Sex: Males; Industry: P Education; measures: Value","Sex: Males; Industry: Q Human health and social work activities; measures: Value","Sex: Males; Industry: R, S, T, U Other; measures: Value","Sex: Females; Industry: All categories: Industry; measures: Value","Sex: Females; Industry: A Agriculture, forestry and fishing; measures: Value","Sex: Females; Industry: B Mining and quarrying; measures: Value","Sex: Females; Industry: C Manufacturing; measures: Value","Sex: Females; Industry: D Electricity, gas, steam and air conditioning supply ; measures: Value","Sex: Females; Industry: E Water supply; sewerage, waste management and remediation activities; measures: Value","Sex: Females; Industry: F Construction; measures: Value","Sex: Females; Industry: G Wholesale and retail trade; repair of motor vehicles and motor cycles; measures: Value","Sex: Females; Industry: H Transport and storage; measures: Value","Sex: Females; Industry: I Accommodation and food service activities; measures: Value","Sex: Females; Industry: J Information and communication; measures: Value","Sex: Females; Industry: K Financial and insurance activities; measures: Value","Sex: Females; Industry: L Real estate activities; measures: Value","Sex: Females; Industry: M Professional, scientific and technical activities; measures: Value","Sex: Females; Industry: N Administrative and support service activities; measures: Value","Sex: Females; Industry: O Public administration and defence; compulsory social security; measures: Value","Sex: Females; Industry: P Education; measures: Value","Sex: Females; Industry: Q Human health and social work activities; measures: Value","Sex: Females; Industry: R, S, T, U Other; measures: Value"
"2011","Darlington","E06000005","Total",49014,303,117,4900,185,295,3743,8107,2525,2698,2165,1880,500,2225,2086,3808,4211,7259,2007,25264,221,107,3905,154,246,3268,4031,2045,1173,1208,737,202,1284,1119,2019,1212,1581,752,23750,82,10,995,31,49,475,4076,480,1525,957,1143,298,941,967,1789,2999,5678,1255
"2011","County Durham","E06000047","Total",227894,2124,922,29983,2417,2197,18824,33261,10272,12257,4564,5063,2699,8789,9165,19738,23836,31923,9860,118472,1622,847,23464,1279,1692,16951,16238,8345,4516,3065,1919,1251,4803,5131,9721,7452,6278,3898,109422,502,75,6519,1138,505,1873,17023,1927,7741,1499,3144,1448,3986,4034,10017,16384,25645,5962
"2011","Hartlepool","E06000001","Total",37767,139,267,4410,666,539,3764,5657,1575,1938,645,789,588,1511,1603,2552,3641,5829,1654,19511,114,259,3656,501,417,3450,2448,1327,701,465,308,268,951,830,1238,929,1030,619,18256,25,8,754,165,122,314,3209,248,1237,180,481,320,560,773,1314,2712,4799,1035
"2011","Middlesbrough","E06000002","Total",54547,82,387,4430,490,380,4620,9124,3002,3705,1266,1358,702,2253,2628,3197,5362,9116,2445,28197,52,375,3566,410,348,4267,4505,2578,1660,899,537,316,1406,1409,1537,1485,1879,968,26350,30,12,864,80,32,353,4619,424,2045,367,821,386,847,1219,1660,3877,7237,1477
"2011","Northumberland","E06000057","Total",146901,3739,770,13569,858,1060,11629,21477,6210,8794,3657,3480,2164,7616,5642,13421,13081,22591,7143,75848,2886,741,10485,705,886,10373,10436,4905,3523,2436,1482,1091,4236,3239,7099,3656,4921,2748,71053,853,29,3084,153,174,1256,11041,1305,5271,1221,1998,1073,3380,2403,6322,9425,17670,4395
"2011","Redcar and Cleveland","E06000003","Total",56354,285,1126,5815,693,444,4976,8830,2651,3027,963,1103,898,2635,2441,3624,5545,8787,2511,28719,222,1087,4837,587,385,4505,4105,2145,1038,669,391,417,1586,1320,1715,1415,1378,917,27635,63,39,978,106,59,471,4725,506,1989,294,712,481,1049,1121,1909,4130,7409,1594
"2011","Stockton-on-Tees","E06000004","Total",87122,221,617,8672,1085,651,7200,14458,4022,4379,2086,2713,1125,4854,3900,5958,8721,12928,3532,44908,169,584,6796,780,554,6398,7326,3230,1753,1382,1010,461,3107,2131,3005,2367,2505,1350,42214,52,33,1876,305,97,802,7132,792,2626,704,1703,664,1747,1769,2953,6354,10423,2182
"2011","Gateshead","E08000037","Total",91877,153,160,9547,773,555,7204,15415,4735,4993,2926,2759,1305,4319,4355,7352,8338,12984,4004,47337,112,151,7650,479,443,6408,7388,3750,2173,1992,1108,571,2324,2312,3522,2633,2737,1584,44540,41,9,1897,294,112,796,8027,985,2820,934,1651,734,1995,2043,3830,5705,10247,2420
"2011","Newcastle upon Tyne","E08000021","Total",119335,153,231,7315,691,537,7613,17779,5520,10314,4470,3817,1704,7307,5732,8517,12662,18794,6179,62768,114,213,5784,484,464,6906,8860,4505,5414,3203,1767,841,4178,3171,4189,4553,5316,2806,56567,39,18,1531,207,73,707,8919,1015,4900,1267,2050,863,3129,2561,4328,8109,13478,3373
"2011","North Tyneside","E08000022","Total",96026,127,393,7883,671,553,7054,13861,4270,4992,3917,3196,1267,4986,4125,10539,9789,14087,4316,48859,105,378,6321,498,467,6294,6868,3476,2214,2545,1392,501,2732,2247,4829,3081,3105,1806,47167,22,15,1562,173,86,760,6993,794,2778,1372,1804,766,2254,1878,5710,6708,10982,2510
